date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-28 11:02:45,aomgfam,,0,0,3,"Corona virus near to my city ",,,,1233346794781802496,https://twitter.com/aomgfam/status/1233346794781802496
2020-02-28 09:54:36,TheBroguer,,1,1,1,"John Hopkins dashboard to track Corona virus near real time @FeralJack_ http://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61",,@FeralJack_,,1233329646294519810,https://twitter.com/TheBroguer/status/1233329646294519810
2020-02-28 09:31:29,thabelomaanda,,1,25,33,"Titans in Abuja Don’t Touch My Queen. I repeat Don’t Touch my Queen. I don’t want this corona virus near her. @lexiesexykiss Please take care of my Queen in abuja. • • • #EverythingTachaIsBack https://twitter.com/symply_tacha/status/1233313737844645888",,@lexiesexykiss,#EverythingTachaIsBack,1233323829658865665,https://twitter.com/thabelomaanda/status/1233323829658865665
2020-02-28 08:09:04,MzunguWah,,0,1,2,"#coronavirusInkenya Am fully self quarantined &amp; ready to battle any symptom of corona virus near me thanks to the government #coronavirusInkenya",,,#coronavirusInkenya #coronavirusInkenya,1233303087550533633,https://twitter.com/MzunguWah/status/1233303087550533633
2020-02-28 07:56:01,SpectralAn0maly,,0,0,0,"corona virus near campus everyone's flippin shit lmao chill",,,,1233299804706369537,https://twitter.com/SpectralAn0maly/status/1233299804706369537
2020-02-27 22:32:51,YOOHVYEON,,0,0,1,"there's a case of corona virus near my city, nice ",,,,1233158076972326913,https://twitter.com/YOOHVYEON/status/1233158076972326913
2020-02-27 21:17:04,j_6119_,,1,0,0,"one more Corona Virus near me. 2 confirmed cases in Norway.",,,,1233139007246213120,https://twitter.com/j_6119_/status/1233139007246213120
2020-02-27 19:12:08,goldenpeonyc,KirstenS,0,0,1,"In case there’s a positive case of corona virus near you... well, you should stay at home and try to avoid contacts with people coming from outside as much as possible. It’s hard but at this point seems like a reasonable thing ",,,,1233107567284563968,https://twitter.com/goldenpeonyc/status/1233107567284563968
2020-02-27 18:27:56,ticctaetoe,,0,0,0,"THERE ARE 14 PPL INFECTED WITH THE CORONA VIRUS NEAR ME WHAT THE HELL",,,,1233096443684151297,https://twitter.com/ticctaetoe/status/1233096443684151297
2020-02-27 17:11:29,lance_unknown,,2,0,1,"Um so - the Corona virus- um has spread to my country - and it's has now spread alot in my country , And it has spread alot , the virus has now spread in my *city* so I'm . Uh . Terrified . Masks are now 1000+ ((to all the people who have Corona virus near them!! Look in thread)",,,,1233077202239004672,https://twitter.com/lance_unknown/status/1233077202239004672
2020-02-27 07:03:27,YSLJUAIV,,0,1,12,"Alright fellow Californians if we find out someone has the corona virus near us we murk them",,,,1232924187347390464,https://twitter.com/YSLJUAIV/status/1232924187347390464
2020-02-27 04:38:51,RudySomali,madridnantes,1,0,1,"We had snow yesterday and yet again, Leo ventured out on the deck for snow-Bengaling! Things over here seem a bit tense as the school district kept sending corona virus info - how not to spread the virus - I‘ve started wondering if there’s anyone brought the virus near here.",,,,1232887798232952832,https://twitter.com/RudySomali/status/1232887798232952832
2020-02-27 02:43:41,_Trils,,0,0,2,"local horny singles with corona virus near u!! ",,,,1232858813235109890,https://twitter.com/_Trils/status/1232858813235109890
